tanggal,produk,harga,hari,promo,cuaca,stok_awal,jumlah_terjual
2026-02-22,Paha Ayam,10000,Sunday,0,Hujan,76,43
2026-02-23,Dada Ayam,11000,Monday,0,Hujan,40,24
2026-02-24,Paha Ayam,10000,Tuesday,1,Cerah,54,54
2026-02-25,Dada Ayam,11000,Wednesday,0,Cerah,76,38
2026-02-26,Dada Ayam,11000,Thursday,0,Mendung,52,40
2026-02-27,Ayam Crispy,12000,Friday,0,Cerah,47,23
2026-02-28,Paha Ayam,10000,Saturday,1,Hujan,44,44
2026-03-01,Ayam Crispy,12000,Sunday,0,Hujan,99,49
2026-03-02,Paha Ayam,10000,Monday,1,Cerah,112,74
2026-03-03,Paha Ayam,10000,Tuesday,0,Cerah,40,33
2026-03-04,Ayam Crispy,12000,Wednesday,0,Mendung,75,52
2026-03-05,Ayam Crispy,12000,Thursday,0,Cerah,74,48
2026-03-06,Paha Ayam,10000,Friday,0,Hujan,105,41
2026-03-07,Ayam Geprek,15000,Saturday,0,Cerah,102,60
2026-03-08,Dada Ayam,11000,Sunday,0,Mendung,62,55
2026-03-09,Ayam Crispy,12000,Monday,0,Cerah,48,31
2026-03-10,Dada Ayam,11000,Tuesday,1,Mendung,73,63
2026-03-11,Ayam Geprek,15000,Wednesday,0,Cerah,85,34
2026-03-12,Ayam Geprek,15000,Thursday,0,Mendung,117,67
2026-03-13,Ayam Geprek,15000,Friday,1,Cerah,43,43
2026-03-14,Ayam Crispy,12000,Saturday,0,Mendung,69,50
2026-03-15,Ayam Geprek,15000,Sunday,0,Hujan,114,64
2026-03-16,Ayam Crispy,12000,Monday,1,Cerah,111,75
2026-03-17,Ayam Geprek,15000,Tuesday,1,Cerah,42,42
2026-03-18,Dada Ayam,11000,Wednesday,0,Cerah,53,25
2026-03-19,Dada Ayam,11000,Thursday,1,Mendung,99,63
2026-03-20,Paha Ayam,10000,Friday,0,Mendung,116,61
2026-03-21,Dada Ayam,11000,Saturday,0,Mendung,84,62
2026-03-22,Paha Ayam,10000,Sunday,0,Cerah,73,55
2026-03-23,Dada Ayam,11000,Monday,1,Cerah,84,66
2026-03-24,Ayam Crispy,12000,Tuesday,0,Mendung,100,54
2026-03-25,Dada Ayam,11000,Wednesday,0,Cerah,55,38
2026-03-26,Paha Ayam,10000,Thursday,0,Hujan,105,40
2026-03-27,Paha Ayam,10000,Friday,0,Cerah,79,40
2026-03-28,Ayam Geprek,15000,Saturday,0,Mendung,56,41
2026-03-29,Ayam Crispy,12000,Sunday,0,Cerah,73,54
2026-03-30,Dada Ayam,11000,Monday,0,Cerah,55,39
2026-03-31,Ayam Geprek,15000,Tuesday,0,Mendung,99,49
2026-04-01,Dada Ayam,11000,Wednesday,0,Mendung,105,54
2026-04-02,Dada Ayam,11000,Thursday,0,Hujan,105,47
2026-04-03,Ayam Geprek,15000,Friday,0,Cerah,52,35
2026-04-04,Ayam Geprek,15000,Saturday,0,Cerah,95,66
2026-04-05,Ayam Geprek,15000,Sunday,1,Mendung,70,63
2026-04-06,Ayam Geprek,15000,Monday,0,Mendung,73,39
2026-04-07,Ayam Geprek,15000,Tuesday,0,Cerah,78,51
2026-04-08,Dada Ayam,11000,Wednesday,0,Cerah,106,53
2026-04-09,Ayam Geprek,15000,Thursday,0,Cerah,47,41
2026-04-10,Ayam Crispy,12000,Friday,0,Hujan,117,42
2026-04-11,Paha Ayam,10000,Saturday,0,Cerah,94,64
2026-04-12,Ayam Geprek,15000,Sunday,0,Cerah,66,51
2026-04-13,Ayam Geprek,15000,Monday,0,Cerah,92,50
2026-04-14,Dada Ayam,11000,Tuesday,0,Cerah,78,47
2026-04-15,Ayam Geprek,15000,Wednesday,0,Cerah,104,54
2026-04-16,Ayam Geprek,15000,Thursday,0,Mendung,56,40
2026-04-17,Ayam Geprek,15000,Friday,0,Cerah,69,39
2026-04-18,Dada Ayam,11000,Saturday,0,Hujan,92,51
2026-04-19,Ayam Geprek,15000,Sunday,0,Cerah,52,39
2026-04-20,Paha Ayam,10000,Monday,0,Mendung,60,39
2026-04-21,Dada Ayam,11000,Tuesday,0,Hujan,58,26
2026-04-22,Paha Ayam,10000,Wednesday,1,Mendung,92,62
2026-04-23,Dada Ayam,11000,Thursday,0,Mendung,58,34
2026-04-24,Ayam Geprek,15000,Friday,0,Cerah,96,48
2026-04-25,Paha Ayam,10000,Saturday,1,Cerah,64,64
2026-04-26,Dada Ayam,11000,Sunday,1,Mendung,70,67
2026-04-27,Ayam Crispy,12000,Monday,0,Hujan,120,48
2026-04-28,Ayam Geprek,15000,Tuesday,0,Mendung,94,50
2026-04-29,Dada Ayam,11000,Wednesday,1,Mendung,62,48
2026-04-30,Ayam Crispy,12000,Thursday,1,Mendung,71,53
2026-05-01,Dada Ayam,11000,Friday,0,Cerah,101,49
2026-05-02,Ayam Crispy,12000,Saturday,0,Cerah,113,70
2026-05-03,Ayam Geprek,15000,Sunday,0,Mendung,49,47
2026-05-04,Paha Ayam,10000,Monday,0,Hujan,111,47
2026-05-05,Ayam Crispy,12000,Tuesday,0,Cerah,93,39
2026-05-06,Dada Ayam,11000,Wednesday,0,Mendung,91,39
2026-05-07,Ayam Geprek,15000,Thursday,0,Cerah,59,37
2026-05-08,Ayam Crispy,12000,Friday,1,Mendung,71,52
2026-05-09,Dada Ayam,11000,Saturday,0,Cerah,53,53
2026-05-10,Dada Ayam,11000,Sunday,0,Cerah,89,67
2026-05-11,Dada Ayam,11000,Monday,1,Mendung,67,55
2026-05-12,Ayam Crispy,12000,Tuesday,1,Cerah,92,57
2026-05-13,Ayam Crispy,12000,Wednesday,0,Mendung,63,42
2026-05-14,Ayam Crispy,12000,Thursday,0,Mendung,118,57
2026-05-15,Paha Ayam,10000,Friday,0,Hujan,61,19
2026-05-16,Ayam Crispy,12000,Saturday,0,Cerah,69,47
2026-05-17,Ayam Crispy,12000,Sunday,0,Cerah,102,73
2026-05-18,Ayam Crispy,12000,Monday,0,Cerah,43,37
2026-05-19,Paha Ayam,10000,Tuesday,0,Hujan,116,33
2026-05-20,Ayam Crispy,12000,Wednesday,0,Hujan,98,33
2026-05-21,Dada Ayam,11000,Thursday,0,Mendung,47,37
2026-05-22,Ayam Crispy,12000,Friday,0,Hujan,51,23
2026-05-23,Dada Ayam,11000,Saturday,0,Mendung,70,58
2026-05-24,Dada Ayam,11000,Sunday,0,Mendung,117,71
2026-05-25,Dada Ayam,11000,Monday,0,Cerah,73,44
2026-05-26,Paha Ayam,10000,Tuesday,1,Mendung,114,70
2026-05-27,Paha Ayam,10000,Wednesday,0,Cerah,115,53
2026-05-28,Paha Ayam,10000,Thursday,0,Hujan,88,41
2026-05-29,Ayam Crispy,12000,Friday,1,Mendung,118,72
2026-05-30,Dada Ayam,11000,Saturday,0,Mendung,96,67
2026-05-31,Paha Ayam,10000,Sunday,0,Cerah,65,54
2026-06-01,Paha Ayam,10000,Monday,0,Cerah,57,33
2026-06-02,Ayam Crispy,12000,Tuesday,0,Cerah,77,50
2026-06-03,Paha Ayam,10000,Wednesday,1,Cerah,120,74
2026-06-04,Ayam Crispy,12000,Thursday,0,Cerah,89,44
2026-06-05,Ayam Geprek,15000,Friday,0,Hujan,47,28
2026-06-06,Paha Ayam,10000,Saturday,0,Mendung,80,51
2026-06-07,Ayam Geprek,15000,Sunday,0,Cerah,45,45
2026-06-08,Ayam Crispy,12000,Monday,0,Cerah,108,52
2026-06-09,Dada Ayam,11000,Tuesday,0,Cerah,83,38
2026-06-10,Paha Ayam,10000,Wednesday,0,Mendung,103,61
2026-06-11,Ayam Crispy,12000,Thursday,1,Mendung,68,51
2026-06-12,Dada Ayam,11000,Friday,0,Hujan,67,30
2026-06-13,Dada Ayam,11000,Saturday,0,Cerah,50,50
2026-06-14,Ayam Geprek,15000,Sunday,0,Hujan,104,62
2026-06-15,Ayam Crispy,12000,Monday,0,Hujan,58,27
2026-06-16,Dada Ayam,11000,Tuesday,0,Cerah,48,29
2026-06-17,Paha Ayam,10000,Wednesday,0,Hujan,66,29
2026-06-18,Paha Ayam,10000,Thursday,0,Cerah,73,38
2026-06-19,Ayam Geprek,15000,Friday,0,Hujan,83,35
2026-06-20,Dada Ayam,11000,Saturday,0,Cerah,107,76
2026-06-21,Ayam Crispy,12000,Sunday,1,Hujan,54,54
2026-06-22,Paha Ayam,10000,Monday,0,Hujan,90,38
2026-06-23,Dada Ayam,11000,Tuesday,0,Hujan,52,27
2026-06-24,Dada Ayam,11000,Wednesday,0,Mendung,88,50
2026-06-25,Ayam Geprek,15000,Thursday,1,Cerah,109,63
2026-06-26,Paha Ayam,10000,Friday,0,Cerah,95,48
2026-06-27,Paha Ayam,10000,Saturday,0,Cerah,115,83
2026-06-28,Ayam Crispy,12000,Sunday,1,Cerah,90,83
2026-06-29,Paha Ayam,10000,Monday,1,Mendung,76,54
2026-06-30,Ayam Crispy,12000,Tuesday,1,Cerah,56,47
2026-07-01,Paha Ayam,10000,Wednesday,0,Hujan,97,36
2026-07-02,Ayam Geprek,15000,Thursday,0,Mendung,68,43
2026-07-03,Paha Ayam,10000,Friday,0,Hujan,72,38
2026-07-04,Ayam Crispy,12000,Saturday,1,Cerah,99,83
2026-07-05,Ayam Crispy,12000,Sunday,0,Hujan,94,54
2026-07-06,Ayam Geprek,15000,Monday,0,Hujan,49,20
2026-07-07,Paha Ayam,10000,Tuesday,0,Cerah,86,47
2026-07-08,Paha Ayam,10000,Wednesday,1,Mendung,62,48
2026-07-09,Ayam Geprek,15000,Thursday,0,Mendung,60,26
2026-07-10,Paha Ayam,10000,Friday,0,Cerah,52,41
2026-07-11,Paha Ayam,10000,Saturday,0,Mendung,72,50
2026-07-12,Ayam Crispy,12000,Sunday,0,Cerah,63,50
2026-07-13,Paha Ayam,10000,Monday,0,Cerah,50,36
2026-07-14,Paha Ayam,10000,Tuesday,0,Cerah,56,42
2026-07-15,Ayam Geprek,15000,Wednesday,0,Cerah,107,54
2026-07-16,Ayam Geprek,15000,Thursday,0,Cerah,86,39
2026-07-17,Dada Ayam,11000,Friday,0,Cerah,64,36
2026-07-18,Ayam Crispy,12000,Saturday,0,Hujan,112,56
2026-07-19,Paha Ayam,10000,Sunday,0,Mendung,60,51
2026-07-20,Paha Ayam,10000,Monday,0,Hujan,51,29
2026-07-21,Dada Ayam,11000,Tuesday,0,Cerah,76,29
2026-07-22,Paha Ayam,10000,Wednesday,0,Cerah,81,41
2026-07-23,Ayam Crispy,12000,Thursday,0,Mendung,56,32
2026-07-24,Dada Ayam,11000,Friday,0,Cerah,87,39
2026-07-25,Ayam Crispy,12000,Saturday,1,Cerah,67,67
2026-07-26,Dada Ayam,11000,Sunday,0,Mendung,80,51
2026-07-27,Dada Ayam,11000,Monday,1,Cerah,86,54
2026-07-28,Ayam Geprek,15000,Tuesday,0,Mendung,57,39
2026-07-29,Ayam Crispy,12000,Wednesday,0,Mendung,117,63
2026-07-30,Paha Ayam,10000,Thursday,1,Cerah,110,68
2026-07-31,Paha Ayam,10000,Friday,0,Cerah,52,27
2026-08-01,Ayam Crispy,12000,Saturday,0,Mendung,52,45
2026-08-02,Paha Ayam,10000,Sunday,0,Cerah,70,60
2026-08-03,Paha Ayam,10000,Monday,0,Cerah,41,30
2026-08-04,Ayam Crispy,12000,Tuesday,1,Hujan,55,39
2026-08-05,Dada Ayam,11000,Wednesday,1,Cerah,48,48
2026-08-06,Ayam Crispy,12000,Thursday,1,Mendung,112,69
2026-08-07,Dada Ayam,11000,Friday,0,Hujan,77,40
2026-08-08,Paha Ayam,10000,Saturday,1,Cerah,114,81
2026-08-09,Paha Ayam,10000,Sunday,1,Cerah,93,73
2026-08-10,Paha Ayam,10000,Monday,0,Cerah,95,41
2026-08-11,Ayam Geprek,15000,Tuesday,0,Cerah,84,42
2026-08-12,Dada Ayam,11000,Wednesday,1,Cerah,73,50
2026-08-13,Ayam Geprek,15000,Thursday,0,Mendung,48,33
2026-08-14,Ayam Geprek,15000,Friday,1,Cerah,47,47
2026-08-15,Ayam Crispy,12000,Saturday,0,Mendung,46,41
2026-08-16,Ayam Geprek,15000,Sunday,1,Hujan,75,64
2026-08-17,Ayam Crispy,12000,Monday,0,Hujan,57,33
2026-08-18,Ayam Crispy,12000,Tuesday,0,Mendung,42,31
2026-08-19,Ayam Geprek,15000,Wednesday,0,Cerah,67,26
2026-08-20,Dada Ayam,11000,Thursday,1,Mendung,109,78
2026-08-21,Dada Ayam,11000,Friday,0,Mendung,83,48
2026-08-22,Dada Ayam,11000,Saturday,0,Cerah,60,60
2026-08-23,Dada Ayam,11000,Sunday,0,Cerah,67,59
2026-08-24,Dada Ayam,11000,Monday,1,Hujan,93,59
2026-08-25,Ayam Geprek,15000,Tuesday,0,Cerah,93,49
2026-08-26,Ayam Geprek,15000,Wednesday,1,Cerah,104,65
2026-08-27,Paha Ayam,10000,Thursday,0,Cerah,60,38
2026-08-28,Dada Ayam,11000,Friday,0,Cerah,52,30
2026-08-29,Ayam Geprek,15000,Saturday,0,Hujan,96,56
2026-08-30,Paha Ayam,10000,Sunday,0,Mendung,88,48
2026-08-31,Dada Ayam,11000,Monday,1,Mendung,93,63
2026-09-01,Ayam Crispy,12000,Tuesday,0,Cerah,49,39
2026-09-02,Paha Ayam,10000,Wednesday,0,Cerah,92,48
2026-09-03,Ayam Geprek,15000,Thursday,1,Cerah,83,68
2026-09-04,Ayam Crispy,12000,Friday,0,Cerah,86,44
2026-09-05,Ayam Crispy,12000,Saturday,0,Cerah,92,67
2026-09-06,Ayam Crispy,12000,Sunday,1,Mendung,113,80
2026-09-07,Paha Ayam,10000,Monday,0,Cerah,85,50
2026-09-08,Ayam Geprek,15000,Tuesday,0,Mendung,52,34
2026-09-09,Ayam Crispy,12000,Wednesday,1,Cerah,76,56
2026-09-10,Dada Ayam,11000,Thursday,0,Cerah,63,24
2026-09-11,Ayam Crispy,12000,Friday,0,Cerah,41,28
2026-09-12,Ayam Crispy,12000,Saturday,0,Hujan,120,63
2026-09-13,Paha Ayam,10000,Sunday,1,Hujan,53,53
2026-09-14,Paha Ayam,10000,Monday,0,Hujan,49,30
2026-09-15,Ayam Geprek,15000,Tuesday,0,Cerah,74,51
2026-09-16,Dada Ayam,11000,Wednesday,1,Cerah,64,59
2026-09-17,Paha Ayam,10000,Thursday,1,Mendung,42,42
2026-09-18,Ayam Crispy,12000,Friday,0,Cerah,56,33
2026-09-19,Ayam Geprek,15000,Saturday,0,Hujan,51,42
2026-09-20,Ayam Crispy,12000,Sunday,0,Cerah,93,65
2026-09-21,Ayam Crispy,12000,Monday,1,Cerah,63,60
2026-09-22,Paha Ayam,10000,Tuesday,0,Cerah,68,51
2026-09-23,Ayam Geprek,15000,Wednesday,0,Cerah,82,55
2026-09-24,Dada Ayam,11000,Thursday,1,Mendung,64,60
2026-09-25,Dada Ayam,11000,Friday,1,Cerah,99,67
2026-09-26,Paha Ayam,10000,Saturday,0,Cerah,104,73
2026-09-27,Paha Ayam,10000,Sunday,1,Cerah,67,67
2026-09-28,Ayam Geprek,15000,Monday,0,Cerah,55,34
2026-09-29,Dada Ayam,11000,Tuesday,1,Mendung,86,57
2026-09-30,Dada Ayam,11000,Wednesday,0,Hujan,120,43
2026-10-01,Dada Ayam,11000,Thursday,0,Hujan,97,35
2026-10-02,Ayam Crispy,12000,Friday,1,Mendung,115,63
2026-10-03,Dada Ayam,11000,Saturday,0,Cerah,66,54
2026-10-04,Ayam Crispy,12000,Sunday,0,Mendung,92,57
2026-10-05,Ayam Geprek,15000,Monday,1,Cerah,81,54
2026-10-06,Ayam Crispy,12000,Tuesday,1,Cerah,98,68
2026-10-07,Ayam Geprek,15000,Wednesday,0,Hujan,86,36
2026-10-08,Dada Ayam,11000,Thursday,0,Cerah,73,43
2026-10-09,Dada Ayam,11000,Friday,0,Hujan,76,38
2026-10-10,Ayam Geprek,15000,Saturday,0,Cerah,45,45
2026-10-11,Paha Ayam,10000,Sunday,0,Mendung,46,46
2026-10-12,Ayam Geprek,15000,Monday,0,Mendung,64,38
2026-10-13,Paha Ayam,10000,Tuesday,1,Hujan,72,53
2026-10-14,Ayam Crispy,12000,Wednesday,0,Mendung,94,50
2026-10-15,Ayam Crispy,12000,Thursday,0,Mendung,97,50
2026-10-16,Ayam Crispy,12000,Friday,0,Cerah,46,38
2026-10-17,Dada Ayam,11000,Saturday,1,Mendung,96,74
2026-10-18,Ayam Crispy,12000,Sunday,0,Cerah,51,51
2026-10-19,Paha Ayam,10000,Monday,0,Mendung,55,33
2026-10-20,Ayam Crispy,12000,Tuesday,0,Mendung,119,51
2026-10-21,Ayam Geprek,15000,Wednesday,0,Mendung,82,47
2026-10-22,Ayam Geprek,15000,Thursday,0,Cerah,116,54
2026-10-23,Dada Ayam,11000,Friday,1,Cerah,46,46
2026-10-24,Ayam Geprek,15000,Saturday,1,Mendung,90,74
2026-10-25,Paha Ayam,10000,Sunday,0,Cerah,112,71
2026-10-26,Ayam Crispy,12000,Monday,0,Cerah,71,33
2026-10-27,Dada Ayam,11000,Tuesday,1,Cerah,114,74
2026-10-28,Ayam Crispy,12000,Wednesday,1,Hujan,47,33
2026-10-29,Ayam Crispy,12000,Thursday,0,Mendung,111,57
2026-10-30,Paha Ayam,10000,Friday,0,Cerah,84,42
2026-10-31,Ayam Geprek,15000,Saturday,0,Cerah,98,54
2026-11-01,Ayam Geprek,15000,Sunday,0,Cerah,43,43
2026-11-02,Ayam Crispy,12000,Monday,1,Mendung,106,68
2026-11-03,Dada Ayam,11000,Tuesday,1,Mendung,68,58
2026-11-04,Ayam Geprek,15000,Wednesday,1,Cerah,68,62
2026-11-05,Dada Ayam,11000,Thursday,0,Cerah,67,48
2026-11-06,Ayam Geprek,15000,Friday,0,Cerah,116,60
2026-11-07,Dada Ayam,11000,Saturday,1,Mendung,118,88
2026-11-08,Paha Ayam,10000,Sunday,1,Mendung,83,67
2026-11-09,Dada Ayam,11000,Monday,0,Cerah,43,31
2026-11-10,Paha Ayam,10000,Tuesday,1,Cerah,48,48
2026-11-11,Paha Ayam,10000,Wednesday,1,Cerah,44,44
2026-11-12,Dada Ayam,11000,Thursday,0,Hujan,95,41
2026-11-13,Paha Ayam,10000,Friday,0,Cerah,89,52
2026-11-14,Ayam Crispy,12000,Saturday,0,Mendung,114,66
2026-11-15,Paha Ayam,10000,Sunday,0,Mendung,54,45
2026-11-16,Ayam Geprek,15000,Monday,0,Cerah,71,39
2026-11-17,Dada Ayam,11000,Tuesday,1,Cerah,67,50
2026-11-18,Ayam Crispy,12000,Wednesday,0,Cerah,61,28
2026-11-19,Dada Ayam,11000,Thursday,0,Mendung,56,30
2026-11-20,Ayam Geprek,15000,Friday,0,Mendung,98,43
2026-11-21,Ayam Geprek,15000,Saturday,0,Mendung,110,75
2026-11-22,Ayam Geprek,15000,Sunday,1,Mendung,96,87
2026-11-23,Paha Ayam,10000,Monday,0,Cerah,65,32
2026-11-24,Paha Ayam,10000,Tuesday,0,Hujan,64,30
2026-11-25,Dada Ayam,11000,Wednesday,1,Mendung,49,49
2026-11-26,Dada Ayam,11000,Thursday,0,Cerah,84,37
2026-11-27,Ayam Crispy,12000,Friday,0,Hujan,50,23
2026-11-28,Ayam Crispy,12000,Saturday,0,Mendung,116,83
2026-11-29,Dada Ayam,11000,Sunday,0,Mendung,92,66
2026-11-30,Paha Ayam,10000,Monday,0,Mendung,111,53
2026-12-01,Ayam Geprek,15000,Tuesday,0,Hujan,107,40
2026-12-02,Dada Ayam,11000,Wednesday,0,Mendung,67,28
2026-12-03,Ayam Crispy,12000,Thursday,1,Cerah,114,72
2026-12-04,Paha Ayam,10000,Friday,0,Cerah,104,61
2026-12-05,Dada Ayam,11000,Saturday,0,Hujan,88,47
2026-12-06,Dada Ayam,11000,Sunday,0,Cerah,86,50
2026-12-07,Paha Ayam,10000,Monday,0,Cerah,91,44
2026-12-08,Dada Ayam,11000,Tuesday,0,Cerah,93,52
2026-12-09,Paha Ayam,10000,Wednesday,0,Cerah,99,48
2026-12-10,Ayam Geprek,15000,Thursday,1,Mendung,96,59
2026-12-11,Paha Ayam,10000,Friday,0,Hujan,86,35
2026-12-12,Paha Ayam,10000,Saturday,0,Cerah,70,56
2026-12-13,Paha Ayam,10000,Sunday,0,Cerah,85,53
2026-12-14,Dada Ayam,11000,Monday,1,Cerah,65,52
2026-12-15,Dada Ayam,11000,Tuesday,0,Hujan,44,18
2026-12-16,Paha Ayam,10000,Wednesday,0,Mendung,91,44
2026-12-17,Dada Ayam,11000,Thursday,0,Cerah,114,50
2026-12-18,Ayam Crispy,12000,Friday,1,Hujan,93,57
2026-12-19,Ayam Crispy,12000,Saturday,0,Hujan,72,42
2026-12-20,Dada Ayam,11000,Sunday,1,Hujan,89,56
2026-12-21,Dada Ayam,11000,Monday,0,Hujan,77,33
2026-12-22,Paha Ayam,10000,Tuesday,0,Cerah,66,42
2026-12-23,Ayam Geprek,15000,Wednesday,0,Mendung,54,30
2026-12-24,Dada Ayam,11000,Thursday,0,Cerah,100,47
2026-12-25,Ayam Crispy,12000,Friday,0,Hujan,60,23
2026-12-26,Paha Ayam,10000,Saturday,0,Mendung,85,58
2026-12-27,Dada Ayam,11000,Sunday,1,Mendung,108,88
2026-12-28,Ayam Crispy,12000,Monday,0,Mendung,45,30
2026-12-29,Ayam Crispy,12000,Tuesday,0,Cerah,77,46
2026-12-30,Ayam Geprek,15000,Wednesday,0,Mendung,101,46
2026-12-31,Paha Ayam,10000,Thursday,0,Hujan,101,38
2027-01-01,Paha Ayam,10000,Friday,0,Hujan,117,51
2027-01-02,Ayam Geprek,15000,Saturday,0,Cerah,113,66
2027-01-03,Ayam Geprek,15000,Sunday,0,Cerah,85,65
2027-01-04,Paha Ayam,10000,Monday,1,Cerah,52,45
2027-01-05,Paha Ayam,10000,Tuesday,1,Mendung,42,42
2027-01-06,Dada Ayam,11000,Wednesday,0,Hujan,45,29
2027-01-07,Dada Ayam,11000,Thursday,0,Cerah,47,29
2027-01-08,Ayam Geprek,15000,Friday,0,Mendung,83,45
2027-01-09,Dada Ayam,11000,Saturday,0,Hujan,72,48
2027-01-10,Ayam Crispy,12000,Sunday,0,Mendung,120,73
2027-01-11,Dada Ayam,11000,Monday,0,Mendung,114,56
2027-01-12,Dada Ayam,11000,Tuesday,1,Mendung,116,70
2027-01-13,Ayam Crispy,12000,Wednesday,0,Mendung,89,40
2027-01-14,Ayam Geprek,15000,Thursday,0,Cerah,50,34
2027-01-15,Ayam Crispy,12000,Friday,0,Mendung,67,35
2027-01-16,Dada Ayam,11000,Saturday,0,Mendung,109,72
2027-01-17,Ayam Geprek,15000,Sunday,0,Hujan,80,55
2027-01-18,Dada Ayam,11000,Monday,0,Mendung,55,25
2027-01-19,Ayam Crispy,12000,Tuesday,0,Mendung,107,59
2027-01-20,Ayam Crispy,12000,Wednesday,1,Cerah,87,58
2027-01-21,Dada Ayam,11000,Thursday,0,Cerah,95,48
2027-01-22,Paha Ayam,10000,Friday,0,Cerah,103,46
2027-01-23,Paha Ayam,10000,Saturday,0,Cerah,98,65
2027-01-24,Ayam Crispy,12000,Sunday,0,Mendung,101,66
2027-01-25,Ayam Crispy,12000,Monday,0,Hujan,115,51
2027-01-26,Paha Ayam,10000,Tuesday,1,Cerah,50,44
2027-01-27,Paha Ayam,10000,Wednesday,1,Cerah,57,57
2027-01-28,Dada Ayam,11000,Thursday,1,Hujan,58,44
2027-01-29,Dada Ayam,11000,Friday,0,Cerah,94,48
2027-01-30,Paha Ayam,10000,Saturday,0,Mendung,65,52
2027-01-31,Dada Ayam,11000,Sunday,0,Mendung,45,44
2027-02-01,Dada Ayam,11000,Monday,0,Mendung,43,29
2027-02-02,Ayam Geprek,15000,Tuesday,1,Cerah,68,55
2027-02-03,Dada Ayam,11000,Wednesday,0,Cerah,98,48
2027-02-04,Ayam Crispy,12000,Thursday,0,Mendung,56,31
2027-02-05,Dada Ayam,11000,Friday,0,Mendung,82,45
2027-02-06,Dada Ayam,11000,Saturday,0,Cerah,119,67
2027-02-07,Paha Ayam,10000,Sunday,0,Mendung,105,68
2027-02-08,Ayam Crispy,12000,Monday,0,Cerah,73,39
